"Time","A5030504","A5030504","A5030504"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
17/04/1973 00:00,"","",""
18/04/1973 00:00,     658.109,     185.974,       0.000
19/04/1973 00:00,     468.893,     105.953,      39.139
20/04/1973 00:00,     265.075,      95.157,      43.298
21/04/1973 00:00,      65.750,      44.782,      35.510
22/04/1973 00:00,      64.074,      46.937,      36.462
23/04/1973 00:00,      40.608,      33.701,      25.587
24/04/1973 00:00,      25.587,      20.297,      16.489
25/04/1973 00:00,      16.489,      15.205,      14.067
26/04/1973 00:00,      20.822,      18.172,      13.997
27/04/1973 00:00,      28.944,      22.518,      18.058
28/04/1973 00:00,      27.648,      22.407,      19.952
29/04/1973 00:00,      19.952,      17.443,      15.775
30/04/1973 00:00,      15.775,      15.394,      15.034
01/05/1973 00:00,      37.152,      27.373,      15.120
02/05/1973 00:00,      33.454,      25.288,      20.909
03/05/1973 00:00,     166.752,      79.890,      22.361
04/05/1973 00:00,      75.202,      53.211,      42.173
05/05/1973 00:00,      42.173,      33.084,      26.308
06/05/1973 00:00,      26.308,      22.242,      20.091
07/05/1973 00:00,      20.822,      18.974,      18.105
08/05/1973 00:00,      18.317,      17.983,      17.299
09/05/1973 00:00,     283.306,      66.129,      16.589
10/05/1973 00:00,     164.827,     116.881,      83.061
11/05/1973 00:00,      83.061,      58.995,      43.532
12/05/1973 00:00,      43.532,      36.042,      30.752
13/05/1973 00:00,      38.880,      31.452,      26.192
14/05/1973 00:00,     286.762,      83.488,      24.797
15/05/1973 00:00,     167.884,      97.766,      69.883
16/05/1973 00:00,      69.883,      58.321,      49.973
17/05/1973 00:00,      49.973,      43.545,      35.801
18/05/1973 00:00,      35.801,      31.812,      29.414
19/05/1973 00:00,      29.414,      27.599,      26.297
20/05/1973 00:00,      26.297,      24.915,      23.492
21/05/1973 00:00,      23.492,      22.469,      21.448
22/05/1973 00:00,      21.448,      20.504,      19.676
23/05/1973 00:00,      26.080,      20.240,      19.354
24/05/1973 00:00,      53.136,      39.804,      26.080
25/05/1973 00:00,     233.626,      85.229,      28.771
26/05/1973 00:00,     104.584,      74.435,      56.188
27/05/1973 00:00,      56.188,      47.031,      40.282
28/05/1973 00:00,      40.282,      35.312,      32.116
29/05/1973 00:00,      39.312,      34.123,      31.709
30/05/1973 00:00,      39.306,      34.660,      31.105
31/05/1973 00:00,      31.105,      29.362,      28.253
01/06/1973 00:00,     561.600,     225.362,      28.471
02/06/1973 00:00,     460.642,     345.597,     236.390
03/06/1973 00:00,     263.174,     190.510,     131.683
04/06/1973 00:00,     350.266,     143.365,      98.669
