"Time","A5041003"
"and","Discharge (ML)"
"Date","Total"
16/07/2003 00:00,""
17/07/2003 00:00,     7.25372
18/07/2003 00:00,     6.06224
19/07/2003 00:00,     6.70960
20/07/2003 00:00,     5.37946
21/07/2003 00:00,     6.62829
22/07/2003 00:00,     7.16537
23/07/2003 00:00,     8.02075
24/07/2003 00:00,    67.01075
25/07/2003 00:00,   290.65412
26/07/2003 00:00,    63.45283
27/07/2003 00:00,    35.88226
28/07/2003 00:00,    32.48503
29/07/2003 00:00,    43.92817
30/07/2003 00:00,    29.59635
31/07/2003 00:00,    24.09962
01/08/2003 00:00,    19.88600
02/08/2003 00:00,    17.05592
03/08/2003 00:00,    14.99721
04/08/2003 00:00,    13.61693
05/08/2003 00:00,    22.76968
06/08/2003 00:00,    31.84320
07/08/2003 00:00,    30.52838
08/08/2003 00:00,    23.37136
09/08/2003 00:00,    20.70375
10/08/2003 00:00,    18.14130
11/08/2003 00:00,    33.60821
12/08/2003 00:00,    31.60381
13/08/2003 00:00,    31.42338
14/08/2003 00:00,    29.00870
15/08/2003 00:00,    23.61984
16/08/2003 00:00,    17.30539
17/08/2003 00:00,    18.03232
18/08/2003 00:00,    15.56732
19/08/2003 00:00,    12.34211
20/08/2003 00:00,    13.53195
21/08/2003 00:00,   100.80112
22/08/2003 00:00,    45.12424
23/08/2003 00:00,   154.70771
24/08/2003 00:00,  2306.32108
25/08/2003 00:00,   278.46832
26/08/2003 00:00,    99.51953
27/08/2003 00:00,    52.45083
28/08/2003 00:00,    41.34188
29/08/2003 00:00,    33.06003
30/08/2003 00:00,    38.59826
31/08/2003 00:00,    68.72509
01/09/2003 00:00,    46.44434
02/09/2003 00:00,    36.73505
03/09/2003 00:00,    31.90069
04/09/2003 00:00,    27.13470
05/09/2003 00:00,    24.19459
06/09/2003 00:00,    22.37753
07/09/2003 00:00,    19.45190
08/09/2003 00:00,    16.53608
09/09/2003 00:00,    15.13441
10/09/2003 00:00,    12.74717
11/09/2003 00:00,    12.54019
12/09/2003 00:00,""
13/09/2003 00:00,""
14/09/2003 00:00,""
15/09/2003 00:00,""
16/09/2003 00:00,""
17/09/2003 00:00,""
18/09/2003 00:00,""
19/09/2003 00:00,""
20/09/2003 00:00,""
21/09/2003 00:00,""
22/09/2003 00:00,""
23/09/2003 00:00,""
24/09/2003 00:00,""
25/09/2003 00:00,""
26/09/2003 00:00,""
27/09/2003 00:00,""
28/09/2003 00:00,""
29/09/2003 00:00,""
30/09/2003 00:00,""
01/10/2003 00:00,""
02/10/2003 00:00,""
03/10/2003 00:00,""
04/10/2003 00:00,""
05/10/2003 00:00,""
06/10/2003 00:00,""
07/10/2003 00:00,""
08/10/2003 00:00,""
09/10/2003 00:00,""
10/10/2003 00:00,""
11/10/2003 00:00,""
12/10/2003 00:00,""
13/10/2003 00:00,""
14/10/2003 00:00,""
15/10/2003 00:00,""
16/10/2003 00:00,""
17/10/2003 00:00,""
18/10/2003 00:00,""
19/10/2003 00:00,""
20/10/2003 00:00,""
21/10/2003 00:00,""
22/10/2003 00:00,""
23/10/2003 00:00,""
24/10/2003 00:00,""
25/10/2003 00:00,""
26/10/2003 00:00,""
27/10/2003 00:00,""
28/10/2003 00:00,""
29/10/2003 00:00,""
30/10/2003 00:00,""
31/10/2003 00:00,""
01/11/2003 00:00,""
02/11/2003 00:00,""
03/11/2003 00:00,    46.33367
04/11/2003 00:00,    31.87037
05/11/2003 00:00,    25.37562
06/11/2003 00:00,    22.16751
07/11/2003 00:00,    18.75379
08/11/2003 00:00,    17.01733
09/11/2003 00:00,    15.57326
10/11/2003 00:00,    14.40927
11/11/2003 00:00,    13.31243
12/11/2003 00:00,    12.21764
13/11/2003 00:00,    11.76863
14/11/2003 00:00,    10.53581
15/11/2003 00:00,     8.46869
16/11/2003 00:00,     6.03298
17/11/2003 00:00,     0.00000
18/11/2003 00:00,     0.00000
19/11/2003 00:00,     4.00429
20/11/2003 00:00,    10.35537
21/11/2003 00:00,     8.94004
22/11/2003 00:00,     8.40703
23/11/2003 00:00,     9.03602
24/11/2003 00:00,     9.28753
25/11/2003 00:00,     8.97908
26/11/2003 00:00,     8.20185
27/11/2003 00:00,     7.21786
28/11/2003 00:00,     6.03900
