Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2018 10:52:00,28/05/2019 10:13:00,74.000
WQ_OGM_DOC,02/01/2018 10:52:00,28/05/2019 10:13:00,74.000
WQ_OXY_OXY,02/01/2018 10:52:00,28/05/2019 10:13:00,74.000
WQ_NIT_NIT,09/01/2018 11:39:00,21/05/2019 11:13:00,37.000
WQ_PHS_FRP,09/01/2018 11:39:00,21/05/2019 11:13:00,37.000
WQ_DIAG_TOT_TP,09/01/2018 11:39:00,21/05/2019 11:13:00,37.000
WQ_DIAG_TOT_TKN,09/01/2018 11:39:00,21/05/2019 11:13:00,37.000
TEMP,02/01/2018 10:52:00,28/05/2019 10:13:00,74.000
WQ_DIAG_TOT_TDS,02/01/2018 10:52:00,28/05/2019 10:13:00,74.000
WQ_DIAG_TOT_TURBIDITY,02/01/2018 10:52:00,28/05/2019 10:13:00,74.000
WQ_CAR_PH,02/01/2018 10:52:00,28/05/2019 10:13:00,74.000
